"DATE_NAME","GEOGRAPHY_NAME","VARIABLE_NAME","OBS_VALUE"
"Oct 2007-Sep 2008","Yorkshire and The Humber","Unemployment rate - aged 16+",5.8
"Oct 2007-Sep 2008","East Midlands","Economic activity rate - aged 16-64",78.2
"Oct 2007-Sep 2008","East Midlands","Employment rate - aged 16-64",73.9
"Oct 2007-Sep 2008","East Midlands","Unemployment rate - aged 16+",5.3
"Oct 2007-Sep 2008","West Midlands","Economic activity rate - aged 16-64",75.0
"Oct 2007-Sep 2008","West Midlands","Employment rate - aged 16-64",70.3
"Oct 2007-Sep 2008","West Midlands","Unemployment rate - aged 16+",6.1
"Oct 2007-Sep 2008","East","Economic activity rate - aged 16-64",78.9
"Oct 2007-Sep 2008","East","Employment rate - aged 16-64",75.4
"Oct 2007-Sep 2008","East","Unemployment rate - aged 16+",4.3
"Oct 2007-Sep 2008","London","Economic activity rate - aged 16-64",74.3
"Oct 2007-Sep 2008","London","Employment rate - aged 16-64",69.2
"Oct 2007-Sep 2008","London","Unemployment rate - aged 16+",6.9
"Oct 2007-Sep 2008","South East","Economic activity rate - aged 16-64",80.1
"Oct 2007-Sep 2008","South East","Employment rate - aged 16-64",76.6
"Oct 2007-Sep 2008","South East","Unemployment rate - aged 16+",4.2
"Oct 2007-Sep 2008","South West","Economic activity rate - aged 16-64",79.5
"Oct 2007-Sep 2008","South West","Employment rate - aged 16-64",76.4
"Oct 2007-Sep 2008","South West","Unemployment rate - aged 16+",3.8
"Oct 2007-Sep 2008","Wales","Economic activity rate - aged 16-64",73.5
"Oct 2007-Sep 2008","Wales","Employment rate - aged 16-64",69.3
"Oct 2007-Sep 2008","Wales","Unemployment rate - aged 16+",5.7
"Oct 2007-Sep 2008","Scotland","Economic activity rate - aged 16-64",77.8
"Oct 2007-Sep 2008","Scotland","Employment rate - aged 16-64",74.3
"Oct 2007-Sep 2008","Scotland","Unemployment rate - aged 16+",4.5
"Jan 2008-Dec 2008","North East","Economic activity rate - aged 16-64",74.2
"Jan 2008-Dec 2008","North East","Employment rate - aged 16-64",68.6
"Jan 2008-Dec 2008","North East","Unemployment rate - aged 16+",7.4
"Jan 2008-Dec 2008","North West","Economic activity rate - aged 16-64",74.1
"Jan 2008-Dec 2008","North West","Employment rate - aged 16-64",69.4
"Jan 2008-Dec 2008","North West","Unemployment rate - aged 16+",6.3
"Jan 2008-Dec 2008","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.7
"Jan 2008-Dec 2008","Yorkshire and The Humber","Employment rate - aged 16-64",71.0
"Jan 2008-Dec 2008","Yorkshire and The Humber","Unemployment rate - aged 16+",6.2
"Jan 2008-Dec 2008","East Midlands","Economic activity rate - aged 16-64",78.3
"Jan 2008-Dec 2008","East Midlands","Employment rate - aged 16-64",73.6
"Jan 2008-Dec 2008","East Midlands","Unemployment rate - aged 16+",5.8
"Jan 2008-Dec 2008","West Midlands","Economic activity rate - aged 16-64",75.3
"Jan 2008-Dec 2008","West Midlands","Employment rate - aged 16-64",70.0
"Jan 2008-Dec 2008","West Midlands","Unemployment rate - aged 16+",6.9
"Jan 2008-Dec 2008","East","Economic activity rate - aged 16-64",78.9
"Jan 2008-Dec 2008","East","Employment rate - aged 16-64",75.0
"Jan 2008-Dec 2008","East","Unemployment rate - aged 16+",4.9
"Jan 2008-Dec 2008","London","Economic activity rate - aged 16-64",74.4
"Jan 2008-Dec 2008","London","Employment rate - aged 16-64",69.1
"Jan 2008-Dec 2008","London","Unemployment rate - aged 16+",7.0
"Jan 2008-Dec 2008","South East","Economic activity rate - aged 16-64",80.2
"Jan 2008-Dec 2008","South East","Employment rate - aged 16-64",76.6
"Jan 2008-Dec 2008","South East","Unemployment rate - aged 16+",4.4
"Jan 2008-Dec 2008","South West","Economic activity rate - aged 16-64",79.5
"Jan 2008-Dec 2008","South West","Employment rate - aged 16-64",76.2
"Jan 2008-Dec 2008","South West","Unemployment rate - aged 16+",4.1
"Jan 2008-Dec 2008","Wales","Economic activity rate - aged 16-64",73.4
"Jan 2008-Dec 2008","Wales","Employment rate - aged 16-64",68.7
"Jan 2008-Dec 2008","Wales","Unemployment rate - aged 16+",6.3
"Jan 2008-Dec 2008","Scotland","Economic activity rate - aged 16-64",77.4
"Jan 2008-Dec 2008","Scotland","Employment rate - aged 16-64",73.6
"Jan 2008-Dec 2008","Scotland","Unemployment rate - aged 16+",4.9
"Apr 2008-Mar 2009","North East","Economic activity rate - aged 16-64",74.3
"Apr 2008-Mar 2009","North East","Employment rate - aged 16-64",68.2
"Apr 2008-Mar 2009","North East","Unemployment rate - aged 16+",8.1
"Apr 2008-Mar 2009","North West","Economic activity rate - aged 16-64",74.3
"Apr 2008-Mar 2009","North West","Employment rate - aged 16-64",69.2
"Apr 2008-Mar 2009","North West","Unemployment rate - aged 16+",6.8
"Apr 2008-Mar 2009","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.9
"Apr 2008-Mar 2009","Yorkshire and The Humber","Employment rate - aged 16-64",70.5
"Apr 2008-Mar 2009","Yorkshire and The Humber","Unemployment rate - aged 16+",7.0
"Apr 2008-Mar 2009","East Midlands","Economic activity rate - aged 16-64",78.1
"Apr 2008-Mar 2009","East Midlands","Employment rate - aged 16-64",73.1
"Apr 2008-Mar 2009","East Midlands","Unemployment rate - aged 16+",6.4
"Apr 2008-Mar 2009","West Midlands","Economic activity rate - aged 16-64",75.2
"Apr 2008-Mar 2009","West Midlands","Employment rate - aged 16-64",69.5
"Apr 2008-Mar 2009","West Midlands","Unemployment rate - aged 16+",7.5
"Apr 2008-Mar 2009","East","Economic activity rate - aged 16-64",79.4
"Apr 2008-Mar 2009","East","Employment rate - aged 16-64",75.1
"Apr 2008-Mar 2009","East","Unemployment rate - aged 16+",5.3
"Apr 2008-Mar 2009","London","Economic activity rate - aged 16-64",74.4
"Apr 2008-Mar 2009","London","Employment rate - aged 16-64",68.8
"Apr 2008-Mar 2009","London","Unemployment rate - aged 16+",7.5
"Apr 2008-Mar 2009","South East","Economic activity rate - aged 16-64",80.4
"Apr 2008-Mar 2009","South East","Employment rate - aged 16-64",76.6
"Apr 2008-Mar 2009","South East","Unemployment rate - aged 16+",4.6
"Apr 2008-Mar 2009","South West","Economic activity rate - aged 16-64",79.5
"Apr 2008-Mar 2009","South West","Employment rate - aged 16-64",75.8
"Apr 2008-Mar 2009","South West","Unemployment rate - aged 16+",4.5
"Apr 2008-Mar 2009","Wales","Economic activity rate - aged 16-64",73.5
"Apr 2008-Mar 2009","Wales","Employment rate - aged 16-64",68.4
"Apr 2008-Mar 2009","Wales","Unemployment rate - aged 16+",6.8
"Apr 2008-Mar 2009","Scotland","Economic activity rate - aged 16-64",77.5
"Apr 2008-Mar 2009","Scotland","Employment rate - aged 16-64",73.3
"Apr 2008-Mar 2009","Scotland","Unemployment rate - aged 16+",5.3
"Jul 2008-Jun 2009","North East","Economic activity rate - aged 16-64",74.2
"Jul 2008-Jun 2009","North East","Employment rate - aged 16-64",67.6
"Jul 2008-Jun 2009","North East","Unemployment rate - aged 16+",8.7
"Jul 2008-Jun 2009","North West","Economic activity rate - aged 16-64",74.6
"Jul 2008-Jun 2009","North West","Employment rate - aged 16-64",68.9
"Jul 2008-Jun 2009","North West","Unemployment rate - aged 16+",7.5
"Jul 2008-Jun 2009","Yorkshire and The Humber","Economic activity rate - aged 16-64",76.0
"Jul 2008-Jun 2009","Yorkshire and The Humber","Employment rate - aged 16-64",70.2
"Jul 2008-Jun 2009","Yorkshire and The Humber","Unemployment rate - aged 16+",7.5
"Jul 2008-Jun 2009","East Midlands","Economic activity rate - aged 16-64",78.3
"Jul 2008-Jun 2009","East Midlands","Employment rate - aged 16-64",72.9
"Jul 2008-Jun 2009","East Midlands","Unemployment rate - aged 16+",6.8
"Jul 2008-Jun 2009","West Midlands","Economic activity rate - aged 16-64",75.3
"Jul 2008-Jun 2009","West Midlands","Employment rate - aged 16-64",68.7
"Jul 2008-Jun 2009","West Midlands","Unemployment rate - aged 16+",8.5
"Jul 2008-Jun 2009","East","Economic activity rate - aged 16-64",79.5
"Jul 2008-Jun 2009","East","Employment rate - aged 16-64",74.8
"Jul 2008-Jun 2009","East","Unemployment rate - aged 16+",5.8
"Jul 2008-Jun 2009","London","Economic activity rate - aged 16-64",74.1
"Jul 2008-Jun 2009","London","Employment rate - aged 16-64",67.9
"Jul 2008-Jun 2009","London","Unemployment rate - aged 16+",8.3
"Jul 2008-Jun 2009","South East","Economic activity rate - aged 16-64",80.2
"Jul 2008-Jun 2009","South East","Employment rate - aged 16-64",76.2
"Jul 2008-Jun 2009","South East","Unemployment rate - aged 16+",5.0
"Jul 2008-Jun 2009","South West","Economic activity rate - aged 16-64",79.4
"Jul 2008-Jun 2009","South West","Employment rate - aged 16-64",75.1
"Jul 2008-Jun 2009","South West","Unemployment rate - aged 16+",5.3
"Jul 2008-Jun 2009","Wales","Economic activity rate - aged 16-64",73.2
"Jul 2008-Jun 2009","Wales","Employment rate - aged 16-64",67.5
"Jul 2008-Jun 2009","Wales","Unemployment rate - aged 16+",7.6
"Jul 2008-Jun 2009","Scotland","Economic activity rate - aged 16-64",77.4
"Jul 2008-Jun 2009","Scotland","Employment rate - aged 16-64",72.8
"Jul 2008-Jun 2009","Scotland","Unemployment rate - aged 16+",5.9
"Oct 2008-Sep 2009","North East","Economic activity rate - aged 16-64",73.8
"Oct 2008-Sep 2009","North East","Employment rate - aged 16-64",67.0
"Oct 2008-Sep 2009","North East","Unemployment rate - aged 16+",9.1
"Oct 2008-Sep 2009","North West","Economic activity rate - aged 16-64",74.7
"Oct 2008-Sep 2009","North West","Employment rate - aged 16-64",68.4
"Oct 2008-Sep 2009","North West","Unemployment rate - aged 16+",8.2
"Oct 2008-Sep 2009","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.6
"Oct 2008-Sep 2009","Yorkshire and The Humber","Employment rate - aged 16-64",69.4
"Oct 2008-Sep 2009","Yorkshire and The Humber","Unemployment rate - aged 16+",8.1
"Oct 2008-Sep 2009","East Midlands","Economic activity rate - aged 16-64",77.9
"Oct 2008-Sep 2009","East Midlands","Employment rate - aged 16-64",72.2
"Oct 2008-Sep 2009","East Midlands","Unemployment rate - aged 16+",7.2
"Oct 2008-Sep 2009","West Midlands","Economic activity rate - aged 16-64",75.6
"Oct 2008-Sep 2009","West Midlands","Employment rate - aged 16-64",68.5
"Oct 2008-Sep 2009","West Midlands","Unemployment rate - aged 16+",9.3
"Oct 2008-Sep 2009","East","Economic activity rate - aged 16-64",79.6
"Oct 2008-Sep 2009","East","Employment rate - aged 16-64",74.7
"Oct 2008-Sep 2009","East","Unemployment rate - aged 16+",6.0
"Oct 2008-Sep 2009","London","Economic activity rate - aged 16-64",74.3
"Oct 2008-Sep 2009","London","Employment rate - aged 16-64",67.8
"Oct 2008-Sep 2009","London","Unemployment rate - aged 16+",8.5
"Oct 2008-Sep 2009","South East","Economic activity rate - aged 16-64",80.1
"Oct 2008-Sep 2009","South East","Employment rate - aged 16-64",75.6
"Oct 2008-Sep 2009","South East","Unemployment rate - aged 16+",5.6
"Oct 2008-Sep 2009","South West","Economic activity rate - aged 16-64",79.3
"Oct 2008-Sep 2009","South West","Employment rate - aged 16-64",74.6
"Oct 2008-Sep 2009","South West","Unemployment rate - aged 16+",5.8
"Oct 2008-Sep 2009","Wales","Economic activity rate - aged 16-64",73.2
"Oct 2008-Sep 2009","Wales","Employment rate - aged 16-64",67.2
"Oct 2008-Sep 2009","Wales","Unemployment rate - aged 16+",8.1
"Oct 2008-Sep 2009","Scotland","Economic activity rate - aged 16-64",77.5
"Oct 2008-Sep 2009","Scotland","Employment rate - aged 16-64",72.3
"Oct 2008-Sep 2009","Scotland","Unemployment rate - aged 16+",6.6
"Jan 2009-Dec 2009","North East","Economic activity rate - aged 16-64",73.3
"Jan 2009-Dec 2009","North East","Employment rate - aged 16-64",66.3
"Jan 2009-Dec 2009","North East","Unemployment rate - aged 16+",9.5
"Jan 2009-Dec 2009","North West","Economic activity rate - aged 16-64",74.6
"Jan 2009-Dec 2009","North West","Employment rate - aged 16-64",68.1
"Jan 2009-Dec 2009","North West","Unemployment rate - aged 16+",8.5
"Jan 2009-Dec 2009","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.3
"Jan 2009-Dec 2009","Yorkshire and The Humber","Employment rate - aged 16-64",68.9
"Jan 2009-Dec 2009","Yorkshire and The Humber","Unemployment rate - aged 16+",8.5
"Jan 2009-Dec 2009","East Midlands","Economic activity rate - aged 16-64",77.9
"Jan 2009-Dec 2009","East Midlands","Employment rate - aged 16-64",72.2
"Jan 2009-Dec 2009","East Midlands","Unemployment rate - aged 16+",7.3
"Jan 2009-Dec 2009","West Midlands","Economic activity rate - aged 16-64",75.4
"Jan 2009-Dec 2009","West Midlands","Employment rate - aged 16-64",68.2
"Jan 2009-Dec 2009","West Midlands","Unemployment rate - aged 16+",9.4
"Jan 2009-Dec 2009","East","Economic activity rate - aged 16-64",79.3
"Jan 2009-Dec 2009","East","Employment rate - aged 16-64",74.2
"Jan 2009-Dec 2009","East","Unemployment rate - aged 16+",6.3
"Jan 2009-Dec 2009","London","Economic activity rate - aged 16-64",74.9
"Jan 2009-Dec 2009","London","Employment rate - aged 16-64",67.9
"Jan 2009-Dec 2009","London","Unemployment rate - aged 16+",9.2
"Jan 2009-Dec 2009","South East","Economic activity rate - aged 16-64",79.9
"Jan 2009-Dec 2009","South East","Employment rate - aged 16-64",75.1
"Jan 2009-Dec 2009","South East","Unemployment rate - aged 16+",5.9
"Jan 2009-Dec 2009","South West","Economic activity rate - aged 16-64",79.3
"Jan 2009-Dec 2009","South West","Employment rate - aged 16-64",74.4
"Jan 2009-Dec 2009","South West","Unemployment rate - aged 16+",6.2
"Jan 2009-Dec 2009","Wales","Economic activity rate - aged 16-64",72.9
"Jan 2009-Dec 2009","Wales","Employment rate - aged 16-64",66.7
"Jan 2009-Dec 2009","Wales","Unemployment rate - aged 16+",8.2
"Jan 2009-Dec 2009","Scotland","Economic activity rate - aged 16-64",77.4
"Jan 2009-Dec 2009","Scotland","Employment rate - aged 16-64",72.0
"Jan 2009-Dec 2009","Scotland","Unemployment rate - aged 16+",6.9
"Apr 2009-Mar 2010","North East","Economic activity rate - aged 16-64",73.0
"Apr 2009-Mar 2010","North East","Employment rate - aged 16-64",65.8
"Apr 2009-Mar 2010","North East","Unemployment rate - aged 16+",9.7
"Apr 2009-Mar 2010","North West","Economic activity rate - aged 16-64",74.4
"Apr 2009-Mar 2010","North West","Employment rate - aged 16-64",67.8
"Apr 2009-Mar 2010","North West","Unemployment rate - aged 16+",8.7
"Apr 2009-Mar 2010","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.3
"Apr 2009-Mar 2010","Yorkshire and The Humber","Employment rate - aged 16-64",68.5
"Apr 2009-Mar 2010","Yorkshire and The Humber","Unemployment rate - aged 16+",8.9
"Apr 2009-Mar 2010","East Midlands","Economic activity rate - aged 16-64",77.3
"Apr 2009-Mar 2010","East Midlands","Employment rate - aged 16-64",71.6
"Apr 2009-Mar 2010","East Midlands","Unemployment rate - aged 16+",7.3
"Apr 2009-Mar 2010","West Midlands","Economic activity rate - aged 16-64",75.6
"Apr 2009-Mar 2010","West Midlands","Employment rate - aged 16-64",68.5
"Apr 2009-Mar 2010","West Midlands","Unemployment rate - aged 16+",9.3
"Apr 2009-Mar 2010","East","Economic activity rate - aged 16-64",78.8
"Apr 2009-Mar 2010","East","Employment rate - aged 16-64",73.4
"Apr 2009-Mar 2010","East","Unemployment rate - aged 16+",6.6
"Apr 2009-Mar 2010","London","Economic activity rate - aged 16-64",74.5
"Apr 2009-Mar 2010","London","Employment rate - aged 16-64",67.5
"Apr 2009-Mar 2010","London","Unemployment rate - aged 16+",9.3
"Apr 2009-Mar 2010","South East","Economic activity rate - aged 16-64",79.7
"Apr 2009-Mar 2010","South East","Employment rate - aged 16-64",74.7
"Apr 2009-Mar 2010","South East","Unemployment rate - aged 16+",6.3
"Apr 2009-Mar 2010","South West","Economic activity rate - aged 16-64",78.8
"Apr 2009-Mar 2010","South West","Employment rate - aged 16-64",73.9
"Apr 2009-Mar 2010","South West","Unemployment rate - aged 16+",6.2
"Apr 2009-Mar 2010","Wales","Economic activity rate - aged 16-64",72.8
"Apr 2009-Mar 2010","Wales","Employment rate - aged 16-64",66.6
"Apr 2009-Mar 2010","Wales","Unemployment rate - aged 16+",8.3
"Apr 2009-Mar 2010","Scotland","Economic activity rate - aged 16-64",77.0
"Apr 2009-Mar 2010","Scotland","Employment rate - aged 16-64",71.3
"Apr 2009-Mar 2010","Scotland","Unemployment rate - aged 16+",7.3
"Jul 2009-Jun 2010","North East","Economic activity rate - aged 16-64",73.6
"Jul 2009-Jun 2010","North East","Employment rate - aged 16-64",66.2
"Jul 2009-Jun 2010","North East","Unemployment rate - aged 16+",9.8
"Jul 2009-Jun 2010","North West","Economic activity rate - aged 16-64",74.4
"Jul 2009-Jun 2010","North West","Employment rate - aged 16-64",68.2
"Jul 2009-Jun 2010","North West","Unemployment rate - aged 16+",8.2
"Jul 2009-Jun 2010","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.6
"Jul 2009-Jun 2010","Yorkshire and The Humber","Employment rate - aged 16-64",68.9
"Jul 2009-Jun 2010","Yorkshire and The Humber","Unemployment rate - aged 16+",8.7
"Jul 2009-Jun 2010","East Midlands","Economic activity rate - aged 16-64",77.1
"Jul 2009-Jun 2010","East Midlands","Employment rate - aged 16-64",71.5
"Jul 2009-Jun 2010","East Midlands","Unemployment rate - aged 16+",7.2
"Jul 2009-Jun 2010","West Midlands","Economic activity rate - aged 16-64",75.2
"Jul 2009-Jun 2010","West Midlands","Employment rate - aged 16-64",68.3
"Jul 2009-Jun 2010","West Midlands","Unemployment rate - aged 16+",9.0
"Jul 2009-Jun 2010","East","Economic activity rate - aged 16-64",78.7
"Jul 2009-Jun 2010","East","Employment rate - aged 16-64",73.4
"Jul 2009-Jun 2010","East","Unemployment rate - aged 16+",6.6
"Jul 2009-Jun 2010","London","Economic activity rate - aged 16-64",74.5
"Jul 2009-Jun 2010","London","Employment rate - aged 16-64",67.6
"Jul 2009-Jun 2010","London","Unemployment rate - aged 16+",9.1
"Jul 2009-Jun 2010","South East","Economic activity rate - aged 16-64",79.3
"Jul 2009-Jun 2010","South East","Employment rate - aged 16-64",74.3
"Jul 2009-Jun 2010","South East","Unemployment rate - aged 16+",6.1
"Jul 2009-Jun 2010","South West","Economic activity rate - aged 16-64",78.5
"Jul 2009-Jun 2010","South West","Employment rate - aged 16-64",73.6
"Jul 2009-Jun 2010","South West","Unemployment rate - aged 16+",6.1
"Jul 2009-Jun 2010","Wales","Economic activity rate - aged 16-64",72.9
"Jul 2009-Jun 2010","Wales","Employment rate - aged 16-64",66.9
"Jul 2009-Jun 2010","Wales","Unemployment rate - aged 16+",8.0
"Jul 2009-Jun 2010","Scotland","Economic activity rate - aged 16-64",76.9
"Jul 2009-Jun 2010","Scotland","Employment rate - aged 16-64",71.0
"Jul 2009-Jun 2010","Scotland","Unemployment rate - aged 16+",7.5
"Oct 2009-Sep 2010","North East","Economic activity rate - aged 16-64",73.8
"Oct 2009-Sep 2010","North East","Employment rate - aged 16-64",66.6
"Oct 2009-Sep 2010","North East","Unemployment rate - aged 16+",9.6
"Oct 2009-Sep 2010","North West","Economic activity rate - aged 16-64",74.7
"Oct 2009-Sep 2010","North West","Employment rate - aged 16-64",68.5
"Oct 2009-Sep 2010","North West","Unemployment rate - aged 16+",8.2
"Oct 2009-Sep 2010","Yorkshire and The Humber","Economic activity rate - aged 16-64",74.9
"Oct 2009-Sep 2010","Yorkshire and The Humber","Employment rate - aged 16-64",68.4
"Oct 2009-Sep 2010","Yorkshire and The Humber","Unemployment rate - aged 16+",8.5
"Oct 2009-Sep 2010","East Midlands","Economic activity rate - aged 16-64",77.0
"Oct 2009-Sep 2010","East Midlands","Employment rate - aged 16-64",71.2
"Oct 2009-Sep 2010","East Midlands","Unemployment rate - aged 16+",7.4
"Oct 2009-Sep 2010","West Midlands","Economic activity rate - aged 16-64",74.7
"Oct 2009-Sep 2010","West Midlands","Employment rate - aged 16-64",67.9
"Oct 2009-Sep 2010","West Midlands","Unemployment rate - aged 16+",9.0
"Oct 2009-Sep 2010","East","Economic activity rate - aged 16-64",78.7
"Oct 2009-Sep 2010","East","Employment rate - aged 16-64",73.4
"Oct 2009-Sep 2010","East","Unemployment rate - aged 16+",6.6
"Oct 2009-Sep 2010","London","Economic activity rate - aged 16-64",74.3
"Oct 2009-Sep 2010","London","Employment rate - aged 16-64",67.5
"Oct 2009-Sep 2010","London","Unemployment rate - aged 16+",9.1
"Oct 2009-Sep 2010","South East","Economic activity rate - aged 16-64",79.4
"Oct 2009-Sep 2010","South East","Employment rate - aged 16-64",74.6
"Oct 2009-Sep 2010","South East","Unemployment rate - aged 16+",6.0
"Oct 2009-Sep 2010","South West","Economic activity rate - aged 16-64",78.7
"Oct 2009-Sep 2010","South West","Employment rate - aged 16-64",73.9
"Oct 2009-Sep 2010","South West","Unemployment rate - aged 16+",5.9
"Oct 2009-Sep 2010","Wales","Economic activity rate - aged 16-64",72.9
"Oct 2009-Sep 2010","Wales","Employment rate - aged 16-64",66.8
"Oct 2009-Sep 2010","Wales","Unemployment rate - aged 16+",8.1
"Oct 2009-Sep 2010","Scotland","Economic activity rate - aged 16-64",76.9
"Oct 2009-Sep 2010","Scotland","Employment rate - aged 16-64",71.0
"Oct 2009-Sep 2010","Scotland","Unemployment rate - aged 16+",7.5
"Jan 2010-Dec 2010","North East","Economic activity rate - aged 16-64",73.4
"Jan 2010-Dec 2010","North East","Employment rate - aged 16-64",66.2
"Jan 2010-Dec 2010","North East","Unemployment rate - aged 16+",9.7
"Jan 2010-Dec 2010","North West","Economic activity rate - aged 16-64",74.9
"Jan 2010-Dec 2010","North West","Employment rate - aged 16-64",68.8
"Jan 2010-Dec 2010","North West","Unemployment rate - aged 16+",8.0
"Jan 2010-Dec 2010","Yorkshire and The Humber","Economic activity rate - aged 16-64",75.1
"Jan 2010-Dec 2010","Yorkshire and The Humber","Employment rate - aged 16-64",68.5
"Jan 2010-Dec 2010","Yorkshire and The Humber","Unemployment rate - aged 16+",8.7
"Jan 2010-Dec 2010","East Midlands","Economic activity rate - aged 16-64",76.6
"Jan 2010-Dec 2010","East Midlands","Employment rate - aged 16-64",70.8
"Jan 2010-Dec 2010","East Midlands","Unemployment rate - aged 16+",7.4
"Jan 2010-Dec 2010","West Midlands","Economic activity rate - aged 16-64",74.3
"Jan 2010-Dec 2010","West Midlands","Employment rate - aged 16-64",67.6
"Jan 2010-Dec 2010","West Midlands","Unemployment rate - aged 16+",8.8
"Jan 2010-Dec 2010","East","Economic activity rate - aged 16-64",78.6
"Jan 2010-Dec 2010","East","Employment rate - aged 16-64",73.3
"Jan 2010-Dec 2010","East","Unemployment rate - aged 16+",6.6
"Jan 2010-Dec 2010","London","Economic activity rate - aged 16-64",74.0
"Jan 2010-Dec 2010","London","Employment rate - aged 16-64",67.3
"Jan 2010-Dec 2010","London","Unemployment rate - aged 16+",8.9
"Jan 2010-Dec 2010","South East","Economic activity rate - aged 16-64",79.4
"Jan 2010-Dec 2010","South East","Employment rate - aged 16-64",74.6
"Jan 2010-Dec 2010","South East","Unemployment rate - aged 16+",6.0
"Jan 2010-Dec 2010","South West","Economic activity rate - aged 16-64",78.5
"Jan 2010-Dec 2010","South West","Employment rate - aged 16-64",73.7
"Jan 2010-Dec 2010","South West","Unemployment rate - aged 16+",5.9
"Jan 2010-Dec 2010","Wales","Economic activity rate - aged 16-64",72.7
"Jan 2010-Dec 2010","Wales","Employment rate - aged 16-64",66.5
"Jan 2010-Dec 2010","Wales","Unemployment rate - aged 16+",8.3
"Jan 2010-Dec 2010","Scotland","Economic activity rate - aged 16-64",77.0
"Jan 2010-Dec 2010","Scotland","Employment rate - aged 16-64",71.0
"Jan 2010-Dec 2010","Scotland","Unemployment rate - aged 16+",7.7
"Apr 2010-Mar 2011","North East","Economic activity rate - aged 16-64",73.4
"Apr 2010-Mar 2011","North East","Employment rate - aged 16-64",65.9
"Apr 2010-Mar 2011","North East","Unemployment rate - aged 16+",10.0
"Apr 2010-Mar 2011","North West","Economic activity rate - aged 16-64",74.5
"Apr 2010-Mar 2011","North West","Employment rate - aged 16-64",68.6
"Apr 2010-Mar 2011","North West","Unemployment rate - aged 16+",7.7
"Apr 2010-Mar 2011","Yorkshire and The Humber","Economic activity rate - aged 16-64",74.9
"Apr 2010-Mar 2011","Yorkshire and The Humber","Employment rate - aged 16-64",68.4
"Apr 2010-Mar 2011","Yorkshire and The Humber","Unemployment rate - aged 16+",8.6
"Apr 2010-Mar 2011","East Midlands","Economic activity rate - aged 16-64",76.8
"Apr 2010-Mar 2011","East Midlands","Employment rate - aged 16-64",71.1
"Apr 2010-Mar 2011","East Midlands","Unemployment rate - aged 16+",7.4
"Apr 2010-Mar 2011","West Midlands","Economic activity rate - aged 16-64",74.2
"Apr 2010-Mar 2011","West Midlands","Employment rate - aged 16-64",67.4
"Apr 2010-Mar 2011","West Midlands","Unemployment rate - aged 16+",8.9
"Apr 2010-Mar 2011","East","Economic activity rate - aged 16-64",78.5
"Apr 2010-Mar 2011","East","Employment rate - aged 16-64",73.2
"Apr 2010-Mar 2011","East","Unemployment rate - aged 16+",6.6
"Apr 2010-Mar 2011","London","Economic activity rate - aged 16-64",74.2
"Apr 2010-Mar 2011","London","Employment rate - aged 16-64",67.5
"Apr 2010-Mar 2011","London","Unemployment rate - aged 16+",8.9
"Apr 2010-Mar 2011","South East","Economic activity rate - aged 16-64",79.4
"Apr 2010-Mar 2011","South East","Employment rate - aged 16-64",74.7
"Apr 2010-Mar 2011","South East","Unemployment rate - aged 16+",5.8
"Apr 2010-Mar 2011","South West","Economic activity rate - aged 16-64",78.5
"Apr 2010-Mar 2011","South West","Employment rate - aged 16-64",73.7
"Apr 2010-Mar 2011","South West","Unemployment rate - aged 16+",6.0
"Apr 2010-Mar 2011","Wales","Economic activity rate - aged 16-64",72.7
"Apr 2010-Mar 2011","Wales","Employment rate - aged 16-64",66.4
"Apr 2010-Mar 2011","Wales","Unemployment rate - aged 16+",8.4
"Apr 2010-Mar 2011","Scotland","Economic activity rate - aged 16-64",77.1
"Apr 2010-Mar 2011","Scotland","Employment rate - aged 16-64",71.0
"Apr 2010-Mar 2011","Scotland","Unemployment rate - aged 16+",7.7
"Jul 2010-Jun 2011","North East","Economic activity rate - aged 16-64",73.0
"Jul 2010-Jun 2011","North East","Employment rate - aged 16-64",65.8
"Jul 2010-Jun 2011","North East","Unemployment rate - aged 16+",9.7
"Jul 2010-Jun 2011","North West","Economic activity rate - aged 16-64",74.6
"Jul 2010-Jun 2011","North West","Employment rate - aged 16-64",68.4
"Jul 2010-Jun 2011","North West","Unemployment rate - aged 16+",8.1
"Jul 2010-Jun 2011","Yorkshire and The Humber","Economic activity rate - aged 16-64",74.5
"Jul 2010-Jun 2011","Yorkshire and The Humber","Employment rate - aged 16-64",67.8
"Jul 2010-Jun 2011","Yorkshire and The Humber","Unemployment rate - aged 16+",8.8
"Jul 2010-Jun 2011","East Midlands","Economic activity rate - aged 16-64",76.9
"Jul 2010-Jun 2011","East Midlands","Employment rate - aged 16-64",70.9
"Jul 2010-Jun 2011","East Midlands","Unemployment rate - aged 16+",7.7
"Jul 2010-Jun 2011","West Midlands","Economic activity rate - aged 16-64",73.8
"Jul 2010-Jun 2011","West Midlands","Employment rate - aged 16-64",67.2
"Jul 2010-Jun 2011","West Midlands","Unemployment rate - aged 16+",8.7
"Jul 2010-Jun 2011","East","Economic activity rate - aged 16-64",78.8
"Jul 2010-Jun 2011","East","Employment rate - aged 16-64",73.4
